Issue-ID,Beschreibung,Status,Schweregrad,Story Points,Projektpfad,Art des Speicherorts,Pfad,Linie,Spalte,Incident-ID,Hilfelink,Assemblyname,Assemblyversion,Öffentlicher Schlüssel für Assembly.,Ausschnitt
NuGet.0002,Ein NuGet-Paketupgrade wird empfohlen,Active,Potential,1,robert-brands-com.csproj,File,robert-brands-com.csproj,,,Microsoft.AspNetCore.Authentication.AzureAD.UI 6.0.36,,,,,"Microsoft.AspNetCore.Authentication.AzureAD.UI, 6.0.36  Empfehlung:  Remove Microsoft.AspNetCore.Authentication.AzureAD.UI, and replace with new package Microsoft.Identity.Web 4.6.0"
NuGet.0002,Ein NuGet-Paketupgrade wird empfohlen,Active,Potential,1,robert-brands-com.csproj,File,robert-brands-com.csproj,,,Microsoft.VisualStudio.Web.CodeGeneration.Design 8.0.7,,,,,"Microsoft.VisualStudio.Web.CodeGeneration.Design, 8.0.7  Empfehlung:  Remove Microsoft.VisualStudio.Web.CodeGeneration.Design, and replace with new package Microsoft.VisualStudio.Web.CodeGeneration.Design 10.0.2"
NuGet.0005,Das NuGet-Paket ist veraltet,Active,Optional,1,robert-brands-com.csproj,File,robert-brands-com.csproj,,,Microsoft.AspNetCore.Authentication.AzureAD.UI 6.0.36,,,,,"Microsoft.AspNetCore.Authentication.AzureAD.UI, 6.0.36  Empfehlung:  This package has been deprecated as part of the .NET Package Deprecation effort. You can learn more about it from https://github.com/dotnet/announcements/issues/217. Please move to Microsoft.Identity.Web.UI package instead. For more information on how to migrate, please look at https://learn.microsoft.com/en-us/entra/identity-platform/scenario-web-app-sign-user-app-configuration?tabs=aspnetcore#initialization-code Remove Microsoft.AspNetCore.Authentication.AzureAD.UI, and replace with new package Microsoft.AspNetCore.Authentication.AzureAD.UI, 6.0.36"
Project.0002,Die Zielframeworks des Projekts müssen geändert werden,Active,Mandatory,1,robert-brands-com.csproj,File,robert-brands-com.csproj,,,,,,,,Aktuelles Zielframework: net8.0 Empfohlenes Zielframework: net10.0
Api.0001,Binär inkompatibel mit ausgewählter .NET-Version,Active,Mandatory,1,robert-brands-com.csproj,File,Repositories\ActivityLogDBRepository.cs,17,12,"M:Microsoft.Extensions.Configuration.ConfigurationBinder.GetValue``1(Microsoft.Extensions.Configuration.IConfiguration,System.String)",,,,,"ttl = configuration.GetValue<int>(""ActivityLogTTL"");"
Api.0001,Binär inkompatibel mit ausgewählter .NET-Version,Active,Mandatory,1,robert-brands-com.csproj,File,Repositories\ActivityLogDBRepository.cs,17,12,"M:Microsoft.Extensions.Configuration.ConfigurationBinder.GetValue``1(Microsoft.Extensions.Configuration.IConfiguration,System.String)",,,,,"ttl = configuration.GetValue<int>(""ActivityLogTTL"");"
Api.0001,Binär inkompatibel mit ausgewählter .NET-Version,Active,Mandatory,1,robert-brands-com.csproj,File,Pages\Blog\NewArticle.cshtml.cs,181,12,M:Microsoft.Extensions.Configuration.ConfigurationBinder.Get``1(Microsoft.Extensions.Configuration.IConfiguration),,,,,"NewsConfig newsConfig = configuration.GetSection(""NewsConfig:"" + listName).Get<NewsConfig>();"
Api.0001,Binär inkompatibel mit ausgewählter .NET-Version,Active,Mandatory,1,robert-brands-com.csproj,File,Pages\Blog\NewArticle.cshtml.cs,130,12,M:Microsoft.Extensions.Configuration.ConfigurationBinder.Get``1(Microsoft.Extensions.Configuration.IConfiguration),,,,,"NewsConfig newsConfig = configuration.GetSection(""NewsConfig:"" + listName).Get<NewsConfig>();"
Api.0001,Binär inkompatibel mit ausgewählter .NET-Version,Active,Mandatory,1,robert-brands-com.csproj,File,Pages\Blog\NewArticle.cshtml.cs,76,16,M:Microsoft.Extensions.Configuration.ConfigurationBinder.Get``1(Microsoft.Extensions.Configuration.IConfiguration),,,,,"NewsConfig newsConfig = configuration.GetSection(""NewsConfig:"" + NewArticle.ListName).Get<NewsConfig>();"
Api.0003,Verhaltensänderung bei ausgewählter .NET-Version,Active,Potential,1,robert-brands-com.csproj,File,Startup.cs,107,16,"M:Microsoft.AspNetCore.Builder.ExceptionHandlerExtensions.UseExceptionHandler(Microsoft.AspNetCore.Builder.IApplicationBuilder,System.String)",,,,,"app.UseExceptionHandler(""/Error"");"
Api.0001,Binär inkompatibel mit ausgewählter .NET-Version,Active,Mandatory,1,robert-brands-com.csproj,File,Startup.cs,75,12,M:Microsoft.Extensions.Configuration.ConfigurationBinder.Get``1(Microsoft.Extensions.Configuration.IConfiguration),,,,,"FunctionSiteToolsConfig functionsConfig = Configuration.GetSection(""FunctionSiteTools"").Get<FunctionSiteToolsConfig>();"
Api.0001,Binär inkompatibel mit ausgewählter .NET-Version,Active,Mandatory,1,robert-brands-com.csproj,File,Startup.cs,74,12,"M:Microsoft.Extensions.DependencyInjection.OptionsConfigurationServiceCollectionExtensions.Configure``1(Microsoft.Extensions.DependencyInjection.IServiceCollection,Microsoft.Extensions.Configuration.IConfiguration)",,,,,"services.Configure<FunctionSiteToolsConfig>(Configuration.GetSection(""FunctionSiteTools""));"
Api.0001,Binär inkompatibel mit ausgewählter .NET-Version,Active,Mandatory,1,robert-brands-com.csproj,File,Startup.cs,72,12,"M:Microsoft.Extensions.DependencyInjection.OptionsConfigurationServiceCollectionExtensions.Configure``1(Microsoft.Extensions.DependencyInjection.IServiceCollection,Microsoft.Extensions.Configuration.IConfiguration)",,,,,"services.Configure<TinyMCEConfig>(Configuration.GetSection(""TinyMCE""));"
Api.0001,Binär inkompatibel mit ausgewählter .NET-Version,Active,Mandatory,1,robert-brands-com.csproj,File,Startup.cs,70,12,M:Microsoft.Extensions.Configuration.ConfigurationBinder.Get``1(Microsoft.Extensions.Configuration.IConfiguration),,,,,"DbConfig dbConfig = Configuration.GetSection(""SiteDB"").Get<DbConfig>();"
Api.0001,Binär inkompatibel mit ausgewählter .NET-Version,Active,Mandatory,1,robert-brands-com.csproj,File,Startup.cs,69,12,"M:Microsoft.Extensions.DependencyInjection.OptionsConfigurationServiceCollectionExtensions.Configure``1(Microsoft.Extensions.DependencyInjection.IServiceCollection,Microsoft.Extensions.Configuration.IConfiguration)",,,,,"services.Configure<DbConfig>(Configuration.GetSection(""SiteDB""));"
Api.0001,Binär inkompatibel mit ausgewählter .NET-Version,Active,Mandatory,1,robert-brands-com.csproj,File,Startup.cs,66,12,"M:Microsoft.Extensions.DependencyInjection.OptionsConfigurationServiceCollectionExtensions.Configure``1(Microsoft.Extensions.DependencyInjection.IServiceCollection,Microsoft.Extensions.Configuration.IConfiguration)",,,,,"services.Configure<RecaptchaSettings>(Configuration.GetSection(""RecaptchaSettings""));"
